|Run	|Time	|PosX	|PosY
12	1.282e+04	1426	969
12	1.282e+04	1427	968
12	1.282e+04	1427	968
12	1.283e+04	1428	968
12	1.283e+04	1429	969
12	1.283e+04	1428	970
12	1.283e+04	1429	971
12	1.283e+04	1430	972
12	1.283e+04	1430	972
12	1.283e+04	1431	973
12	1.283e+04	1431	973
12	1.283e+04	1432	974
12	1.284e+04	1433	973
12	1.284e+04	1433	973
12	1.284e+04	1434	972
12	1.284e+04	1434	972
12	1.284e+04	1434	972
12	1.284e+04	1434	972
12	1.284e+04	1434	973
12	1.284e+04	1435	974
12	1.284e+04	1436	974
12	1.284e+04	1437	974
12	1.284e+04	1438	973
12	1.285e+04	1439	972
12	1.285e+04	1440	973
12	1.285e+04	1440	972
12	1.285e+04	1439	973
12	1.285e+04	1440	973
12	1.285e+04	1440	973
12	1.285e+04	1441	972
12	1.285e+04	1442	971
12	1.285e+04	1443	971
12	1.286e+04	1443	972
12	1.286e+04	1444	972
12	1.286e+04	1445	973
12	1.286e+04	1445	973
12	1.286e+04	1446	972
12	1.286e+04	1447	972
12	1.286e+04	1447	973
12	1.286e+04	1447	973
12	1.286e+04	1448	973
12	1.286e+04	1448	972
12	1.286e+04	1449	973
12	1.287e+04	1450	972
12	1.287e+04	1451	973
12	1.287e+04	1452	972
12	1.287e+04	1453	971
12	1.287e+04	1454	971
12	1.287e+04	1454	971
12	1.287e+04	1454	972
12	1.287e+04	1455	973
12	1.287e+04	1456	973
12	1.288e+04	1457	973
12	1.288e+04	1458	972
12	1.288e+04	1459	971
12	1.288e+04	1460	972
12	1.288e+04	1461	973
12	1.288e+04	1462	974
12	1.288e+04	1462	973
12	1.288e+04	1463	973
12	1.288e+04	1463	974
12	1.288e+04	1464	974
12	1.288e+04	1464	975
12	1.289e+04	1464	975
12	1.289e+04	1464	975
12	1.289e+04	1464	974
12	1.289e+04	1464	974
12	1.289e+04	1465	975
12	1.289e+04	1464	974
12	1.289e+04	1464	973
12	1.289e+04	1465	973
12	1.289e+04	1466	973
12	1.29e+04	1467	973
12	1.29e+04	1468	974
12	1.29e+04	1469	974
12	1.29e+04	1470	974
12	1.29e+04	1469	973
12	1.29e+04	1469	973
12	1.29e+04	1469	973
12	1.29e+04	1470	973
12	1.29e+04	1470	974
12	1.29e+04	1471	974
12	1.29e+04	1472	973
12	1.291e+04	1472	973
12	1.291e+04	1473	974
12	1.291e+04	1474	974
12	1.291e+04	1474	973
12	1.291e+04	1474	973
12	1.291e+04	1474	972
12	1.291e+04	1474	971
12	1.291e+04	1474	972
12	1.291e+04	1474	971
12	1.292e+04	1473	970
12	1.292e+04	1473	970
12	1.292e+04	1473	971
12	1.292e+04	1473	972
12	1.292e+04	1473	971
12	1.292e+04	1473	972
12	1.292e+04	1473	972
12	1.292e+04	1473	972
12	1.292e+04	1472	972
12	1.292e+04	1473	972
12	1.292e+04	1474	972
12	1.293e+04	1475	972
12	1.293e+04	1476	972
12	1.293e+04	1477	971
12	1.293e+04	1477	971
12	1.293e+04	1478	971
12	1.293e+04	1478	972
12	1.293e+04	1479	973
12	1.293e+04	1480	973
12	1.293e+04	1481	973
12	1.294e+04	1481	973
12	1.294e+04	1482	974
12	1.294e+04	1481	973
12	1.294e+04	1482	974
12	1.294e+04	1483	975
12	1.294e+04	1483	975
12	1.294e+04	1483	976
12	1.294e+04	1484	976
12	1.294e+04	1484	975
12	1.294e+04	1484	974
12	1.294e+04	1485	973
12	1.295e+04	1485	973
12	1.295e+04	1486	973
12	1.295e+04	1487	974
12	1.295e+04	1488	975
12	1.295e+04	1489	975
12	1.295e+04	1488	975
12	1.295e+04	1489	974
12	1.295e+04	1490	975
12	1.295e+04	1491	976
12	1.296e+04	1492	977
12	1.296e+04	1492	977
12	1.296e+04	1492	976
12	1.296e+04	1493	976
12	1.296e+04	1493	977
12	1.296e+04	1494	977
12	1.296e+04	1495	977
12	1.296e+04	1496	977
12	1.296e+04	1496	977
12	1.296e+04	1497	977
12	1.296e+04	1498	977
12	1.297e+04	1499	978
12	1.297e+04	1500	978
12	1.297e+04	1501	979
12	1.297e+04	1502	979
12	1.297e+04	1503	978
12	1.297e+04	1504	978
12	1.297e+04	1505	977
12	1.297e+04	1504	976
12	1.297e+04	1505	976
12	1.298e+04	1506	976
12	1.298e+04	1507	975
12	1.298e+04	1508	976
12	1.298e+04	1509	975
12	1.298e+04	1510	975
12	1.298e+04	1509	975
12	1.298e+04	1510	974
12	1.298e+04	1510	973
12	1.298e+04	1511	974
12	1.298e+04	1512	974
12	1.298e+04	1513	975
12	1.299e+04	1514	975
12	1.299e+04	1515	974
12	1.299e+04	1515	973
12	1.299e+04	1515	974
12	1.299e+04	1516	973
12	1.299e+04	1516	972
12	1.299e+04	1517	972
12	1.299e+04	1517	971
12	1.299e+04	1518	971
12	1.3e+04	1519	971
12	1.3e+04	1520	972
12	1.3e+04	1521	973
12	1.3e+04	1521	972
12	1.3e+04	1522	972
12	1.3e+04	1523	972
13	1.3e+04	1001	1000
13	1.3e+04	1001	1000
13	1.3e+04	1002	1001
13	1.3e+04	1002	1001
13	1.3e+04	1003	1002
13	1.301e+04	1004	1002
13	1.301e+04	1005	1003
13	1.301e+04	1005	1004
13	1.301e+04	1006	1005
13	1.301e+04	1007	1005
13	1.301e+04	1008	1006
13	1.301e+04	1008	1006
13	1.301e+04	1009	1007
13	1.301e+04	1009	1007
13	1.302e+04	1009	1007
13	1.302e+04	1010	1008
13	1.302e+04	1010	1009
13	1.302e+04	1011	1009
13	1.302e+04	1011	1010
13	1.302e+04	1011	1010
13	1.302e+04	1012	1010
13	1.302e+04	1013	1010
13	1.302e+04	1014	1010
13	1.302e+04	1015	1009
13	1.302e+04	1016	1009
13	1.303e+04	1017	1010
13	1.303e+04	1018	1011
13	1.303e+04	1018	1011
13	1.303e+04	1018	1012
13	1.303e+04	1019	1011
13	1.303e+04	1020	1010
13	1.303e+04	1020	1009
13	1.303e+04	1021	1008
13	1.303e+04	1021	1008
13	1.304e+04	1020	1008
13	1.304e+04	1020	1009
13	1.304e+04	1021	1009
13	1.304e+04	1021	1009
13	1.304e+04	1022	1010
13	1.304e+04	1023	1010
13	1.304e+04	1023	1009
13	1.304e+04	1024	1009
13	1.304e+04	1025	1009
13	1.304e+04	1026	1009
13	1.304e+04	1027	1010
13	1.305e+04	1028	1010
13	1.305e+04	1029	1010
13	1.305e+04	1030	1009
13	1.305e+04	1031	1008
13	1.305e+04	1032	1008
13	1.305e+04	1032	1008
13	1.305e+04	1033	1008
13	1.305e+04	1033	1009
13	1.305e+04	1034	1009
13	1.306e+04	1033	1009
13	1.306e+04	1034	1009
13	1.306e+04	1035	1008
13	1.306e+04	1036	1008
13	1.306e+04	1037	1008
13	1.306e+04	1037	1007
13	1.306e+04	1038	1008
13	1.306e+04	1039	1008
13	1.306e+04	1040	1009
13	1.306e+04	1041	1009
13	1.306e+04	1042	1010
13	1.307e+04	1042	1010
13	1.307e+04	1043	1010
13	1.307e+04	1043	1010
13	1.307e+04	1043	1010
13	1.307e+04	1044	1010
13	1.307e+04	1044	1011
13	1.307e+04	1044	1011
13	1.307e+04	1045	1011
13	1.307e+04	1045	1010
13	1.308e+04	1044	1011
13	1.308e+04	1044	1010
13	1.308e+04	1045	1010
13	1.308e+04	1044	1011
13	1.308e+04	1044	1012
13	1.308e+04	1044	1011
13	1.308e+04	1044	1010
13	1.308e+04	1045	1009
13	1.308e+04	1046	1009
13	1.308e+04	1047	1009
13	1.308e+04	1047	1009
13	1.309e+04	1047	1010
13	1.309e+04	1047	1009
13	1.309e+04	1047	1009
13	1.309e+04	1047	1009
13	1.309e+04	1046	1009
13	1.309e+04	1046	1008
13	1.309e+04	1047	1007
13	1.309e+04	1048	1006
13	1.309e+04	1049	1005
13	1.31e+04	1050	1005
13	1.31e+04	1051	1004
13	1.31e+04	1051	1004
13	1.31e+04	1051	1005
13	1.31e+04	1051	1004
13	1.31e+04	1051	1005
13	1.31e+04	1051	1004
13	1.31e+04	1052	1005
13	1.31e+04	1052	1005
13	1.31e+04	1053	1004
13	1.31e+04	1053	1003
13	1.311e+04	1053	1003
13	1.311e+04	1052	1004
13	1.311e+04	1053	1004
13	1.311e+04	1053	1004
13	1.311e+04	1054	1005
13	1.311e+04	1055	1005
13	1.311e+04	1056	1004
13	1.311e+04	1056	1004
13	1.311e+04	1056	1004
13	1.312e+04	1057	1004
13	1.312e+04	1058	1005
13	1.312e+04	1059	1005
13	1.312e+04	1060	1004
13	1.312e+04	1061	1004
13	1.312e+04	1062	1004
13	1.312e+04	1062	1004
13	1.312e+04	1062	1005
13	1.312e+04	1062	1006
13	1.312e+04	1063	1005
13	1.312e+04	1064	1004
13	1.313e+04	1064	1004
13	1.313e+04	1064	1003
13	1.313e+04	1064	1003
13	1.313e+04	1065	1004
13	1.313e+04	1066	1004
13	1.313e+04	1067	1005
13	1.313e+04	1067	1006
13	1.313e+04	1068	1006
13	1.313e+04	1069	1006
13	1.314e+04	1069	1006
13	1.314e+04	1069	1006
13	1.314e+04	1069	1006
13	1.314e+04	1069	1005
13	1.314e+04	1069	1004
13	1.314e+04	1070	1005
13	1.314e+04	1071	1006
13	1.314e+04	1072	1006
13	1.314e+04	1073	1007
13	1.314e+04	1073	1007
13	1.314e+04	1074	1006
13	1.315e+04	1075	1005
13	1.315e+04	1076	1005
13	1.315e+04	1076	1006
13	1.315e+04	1077	1007
13	1.315e+04	1078	1008
13	1.315e+04	1079	1007
13	1.315e+04	1080	1007
13	1.315e+04	1081	1008
13	1.315e+04	1082	1009
13	1.316e+04	1083	1010
13	1.316e+04	1084	1009
13	1.316e+04	1085	1009
13	1.316e+04	1086	1008
13	1.316e+04	1086	1008
13	1.316e+04	1086	1008
13	1.316e+04	1087	1007
13	1.316e+04	1088	1007
13	1.316e+04	1089	1007
13	1.316e+04	1089	1007
13	1.316e+04	1089	1007
13	1.317e+04	1090	1006
13	1.317e+04	1091	1005
13	1.317e+04	1091	1006
13	1.317e+04	1090	1006
13	1.317e+04	1090	1005
13	1.317e+04	1090	1005
13	1.317e+04	1091	1006
13	1.317e+04	1091	1005
13	1.317e+04	1091	1005
13	1.318e+04	1092	1004
13	1.318e+04	1093	1004
13	1.318e+04	1093	1005
13	1.318e+04	1094	1006
13	1.318e+04	1095	1006
13	1.318e+04	1096	1006
13	1.318e+04	1096	1006
13	1.318e+04	1097	1005
13	1.318e+04	1097	1004
13	1.318e+04	1097	1004
13	1.318e+04	1097	1005
13	1.319e+04	1098	1004
13	1.319e+04	1098	1003
13	1.319e+04	1098	1004
13	1.319e+04	1098	1004
13	1.319e+04	1099	1003
13	1.319e+04	1099	1002
13	1.319e+04	1100	1003
13	1.319e+04	1100	1003
13	1.319e+04	1101	1004
13	1.32e+04	1102	1005
13	1.32e+04	1103	1004
13	1.32e+04	1104	1003
13	1.32e+04	1104	1002
13	1.32e+04	1105	1002
13	1.32e+04	1106	1002
13	1.32e+04	1106	1002
13	1.32e+04	1106	1001
13	1.32e+04	1106	1001
13	1.32e+04	1107	1000
13	1.32e+04	1107	1001
13	1.321e+04	1108	1001
13	1.321e+04	1108	1000
13	1.321e+04	1109	1000
13	1.321e+04	1109	1001
13	1.321e+04	1110	1002
13	1.321e+04	1111	1003
13	1.321e+04	1111	1003
13	1.321e+04	1111	1004
13	1.321e+04	1111	1004
13	1.322e+04	1110	1004
13	1.322e+04	1109	1003
13	1.322e+04	1108	1003
13	1.322e+04	1108	1003
13	1.322e+04	1108	1004
13	1.322e+04	1109	1004
13	1.322e+04	1108	1004
13	1.322e+04	1109	1003
13	1.322e+04	1108	1003
13	1.322e+04	1109	1003
13	1.322e+04	1110	1003
13	1.323e+04	1111	1002
13	1.323e+04	1111	1001
13	1.323e+04	1111	1001
13	1.323e+04	1112	1001
13	1.323e+04	1113	1001
13	1.323e+04	1114	1001
13	1.323e+04	1115	1000
13	1.323e+04	1116	999
13	1.323e+04	1116	1000
13	1.324e+04	1117	1000
13	1.324e+04	1118	1001
13	1.324e+04	1119	1000
13	1.324e+04	1120	1001
13	1.324e+04	1120	1000
13	1.324e+04	1120	1001
13	1.324e+04	1120	1001
13	1.324e+04	1120	1000
13	1.324e+04	1121	1000
13	1.324e+04	1121	1001
13	1.324e+04	1122	1002
13	1.325e+04	1122	1001
13	1.325e+04	1121	1001
13	1.325e+04	1122	1001
13	1.325e+04	1122	1001
13	1.325e+04	1122	1001
13	1.325e+04	1123	1001
13	1.325e+04	1124	1000
13	1.325e+04	1125	1000
13	1.325e+04	1126	1001
13	1.326e+04	1127	1000
